Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
242,Avery Bradley,4,2014-15,24,BOS,4,4,33.3,4.8,12.5,3.5,7.8,1.3,4.8,1.5,1.8,0.8,3.0,3.8,0.8,0.8,0.0,0.8,3.3,12.3,.380,.452,.263,.857,.462,.430,G,bradlav01
243,Avery Bradley,18,2016-17,26,BOS,18,18,35.8,6.7,15.1,4.4,8.8,2.2,6.3,1.2,1.5,1.0,2.9,3.9,2.3,1.3,0.2,1.7,2.2,16.7,.441,.506,.351,.778,.530,.515,G,bradlav01
244,Tony Bradley,6,2019-20,22,UTA,6,0,8.0,0.3,1.5,0.3,1.5,0.0,0.0,0.8,1.2,1.7,2.2,3.8,0.2,0.3,0.3,0.7,0.7,1.5,.222,.222,,.714,.373,.222,F-C,bradlto01
245,Elton Brand,13,2011-12,32,PHI,13,13,27.4,3.5,7.6,3.5,7.6,0.0,0.0,1.5,2.5,1.7,3.2,4.8,0.5,0.8,1.5,0.5,2.8,8.6,.465,.465,,.625,.495,.465,F-C,brandel01
246,Elton Brand,7,2013-14,34,ATL,7,0,11.6,0.3,1.7,0.3,1.7,0.0,0.0,0.6,0.7,1.0,2.3,3.3,0.9,0.1,0.9,0.0,1.4,1.1,.167,.167,,.800,.282,.167,F-C,brandel01
247,Corey Brewer,7,2011-12,25,DEN,7,0,16.6,3.3,7.7,2.4,4.9,0.9,2.9,0.9,1.1,0.9,1.1,2.0,0.9,1.0,0.3,0.3,1.6,8.3,.426,.500,.300,.750,.504,.481,F-G,breweco01
248,Corey Brewer,6,2012-13,26,DEN,6,0,24.3,3.5,11.3,2.0,5.3,1.5,6.0,2.3,3.5,0.5,1.3,1.8,1.2,1.0,0.2,1.2,3.2,10.8,.309,.375,.250,.667,.421,.375,F-G,breweco01
249,Corey Brewer,17,2014-15,28,HOU,17,0,25.2,4.2,9.8,3.5,7.4,0.7,2.5,2.1,3.2,0.6,2.1,2.8,1.1,0.6,0.2,0.9,2.8,11.2,.431,.480,.286,.636,.499,.467,F-G,breweco01
250,Corey Brewer,5,2015-16,29,HOU,5,1,15.4,1.4,5.4,1.2,3.4,0.2,2.0,1.4,1.6,0.6,0.8,1.4,1.6,0.0,0.2,1.2,2.6,4.4,.259,.353,.100,.875,.360,.278,F-G,breweco01
251,Corey Brewer,6,2017-18,31,OKC,6,6,25.2,2.2,4.2,1.3,2.3,0.8,1.8,1.0,1.0,0.7,1.5,2.2,0.8,1.2,0.8,0.3,2.8,6.2,.520,.571,.455,1.000,.669,.620,F-G,breweco01
