Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Josh Richardson,22-29,503,29.0,4.3,10.0,2.7,5.7,1.6,4.4,1.6,1.9,0.7,2.4,3.1,2.7,1.1,0.6,1.4,2.3,11.8,0.428,0.477,0.365,0.84,0.542,0.508,G
Jason Richardson,32-34,52,26.0,3.8,9.9,2.1,4.8,1.7,5.1,0.7,1.1,0.6,3.1,3.7,1.7,1.0,0.3,0.8,1.6,10.0,0.383,0.434,0.335,0.673,0.482,0.469,G
Nick Richards,23-25,133,12.4,2.0,3.1,2.0,3.1,0.0,0.0,1.3,1.8,1.4,2.5,3.9,0.4,0.2,0.7,0.6,1.6,5.2,0.633,0.634,0.5,0.734,0.675,0.635,F-C
Cameron Reynolds,23-25,24,12.5,1.6,4.0,0.6,1.4,1.0,2.6,0.3,0.4,0.3,1.3,1.5,0.6,0.3,0.1,0.2,1.2,4.6,0.406,0.455,0.381,0.889,0.55,0.531,G
Naz Reid,20-23,245,17.6,3.9,7.7,2.9,5.0,0.9,2.7,1.4,2.0,1.2,3.2,4.4,1.0,0.6,0.9,1.1,2.5,10.1,0.505,0.59,0.344,0.711,0.59,0.564,F
Willie Reed,25-27,152,12.4,2.1,3.5,2.1,3.5,0.0,0.0,0.7,1.3,1.4,2.4,3.8,0.3,0.2,0.7,0.4,1.6,4.9,0.592,0.595,0.333,0.561,0.6,0.594,F-C
J.J. Redick,28-36,594,28.4,5.2,11.4,2.6,5.3,2.6,6.1,2.4,2.7,0.2,2.0,2.2,2.2,0.5,0.1,1.3,1.6,15.4,0.453,0.492,0.419,0.899,0.608,0.565,G
Cam Reddish,20-23,173,24.9,3.5,8.9,2.2,4.8,1.3,4.1,1.9,2.3,0.6,2.4,3.0,1.3,1.0,0.4,1.4,1.9,10.3,0.399,0.463,0.322,0.843,0.522,0.473,F
Austin Reaves,23-24,125,26.1,3.2,6.5,2.1,3.4,1.1,3.1,2.6,3.1,0.6,2.5,3.1,2.6,0.5,0.3,1.1,1.6,10.2,0.501,0.626,0.363,0.856,0.654,0.587,G
Zach Randolph,31-36,426,30.3,6.4,13.6,6.2,12.8,0.2,0.8,2.6,3.4,3.0,6.2,9.2,2.0,0.7,0.2,1.9,2.3,15.5,0.468,0.48,0.27,0.758,0.514,0.476,F-C
Julius Randle,20-28,595,31.7,6.8,14.5,5.7,11.1,1.1,3.3,4.0,5.3,2.0,7.4,9.4,3.6,0.7,0.4,2.8,3.1,18.7,0.47,0.51,0.336,0.745,0.556,0.509,F-C
Chasson Randle,23-27,119,16.1,1.9,4.7,1.0,2.2,0.9,2.5,1.1,1.3,0.2,1.3,1.4,1.8,0.5,0.1,0.9,1.7,5.7,0.401,0.447,0.361,0.799,0.542,0.496,G
Ivan Rabb,20-21,85,14.6,2.4,4.3,2.3,4.1,0.0,0.2,0.9,1.2,1.4,2.8,4.3,1.0,0.3,0.3,0.8,1.7,5.7,0.555,0.57,0.2,0.743,0.591,0.559,F
Immanuel Quickley,21-23,223,24.2,4.2,10.0,2.3,4.9,1.9,5.2,2.4,2.8,0.5,2.7,3.2,3.1,0.7,0.1,1.2,2.0,12.7,0.416,0.468,0.367,0.859,0.561,0.51,G
Payton Pritchard,23-25,185,15.7,2.4,5.6,1.0,2.1,1.4,3.5,0.4,0.4,0.5,1.6,2.1,1.7,0.4,0.1,0.7,1.1,6.6,0.43,0.478,0.4,0.89,0.57,0.555,G
Tayshaun Prince,32-35,293,25.4,2.9,6.6,2.5,5.8,0.3,0.9,0.7,0.9,0.6,2.6,3.3,1.6,0.5,0.2,0.7,0.9,6.7,0.431,0.441,0.368,0.701,0.475,0.455,F
Taurean Prince,22-28,424,23.9,3.7,8.7,2.0,4.3,1.7,4.4,1.4,1.7,0.5,3.2,3.7,1.7,0.8,0.4,1.5,2.1,10.4,0.421,0.473,0.372,0.818,0.549,0.516,F
Joshua Primo,19-20,54,19.6,2.0,5.5,1.2,2.7,0.8,2.8,0.9,1.3,0.6,1.7,2.3,1.8,0.4,0.5,1.3,1.6,5.9,0.372,0.442,0.302,0.75,0.485,0.448,G
Pablo Prigioni,35-38,270,16.9,1.2,2.9,0.5,0.9,0.8,2.0,0.3,0.3,0.5,1.3,1.9,2.8,1.0,0.0,1.0,1.6,3.5,0.425,0.522,0.379,0.872,0.574,0.554,G
Ronnie Price,29-33,189,17.0,1.4,4.0,0.8,1.9,0.6,2.1,0.5,0.7,0.4,1.0,1.4,2.5,1.1,0.1,1.0,2.1,3.9,0.347,0.401,0.3,0.756,0.456,0.426,G
A.J. Price,26-28,111,15.3,2.1,5.4,1.3,2.9,0.8,2.5,0.6,0.8,0.2,1.2,1.4,2.4,0.4,0.0,0.8,0.8,5.6,0.388,0.442,0.326,0.739,0.487,0.464,G
Phil Pressey,22-24,148,13.6,1.2,3.4,0.8,2.1,0.3,1.3,0.5,0.8,0.2,1.2,1.5,2.9,0.8,0.1,1.1,1.2,3.2,0.341,0.392,0.254,0.63,0.419,0.388,G
Norman Powell,22-29,481,22.8,4.2,9.0,2.7,5.2,1.5,3.8,2.2,2.6,0.4,2.2,2.6,1.5,0.8,0.3,1.2,1.9,12.0,0.465,0.524,0.386,0.827,0.592,0.548,G
Dwight Powell,23-31,587,19.0,2.8,4.7,2.6,4.0,0.2,0.7,1.7,2.3,1.6,2.9,4.5,1.0,0.6,0.5,0.7,2.3,7.6,0.599,0.654,0.292,0.741,0.661,0.621,F-C
