,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
153,Myles Turner,5.5,20.5,6.3,1.2,6.8,10.7,19.4,19-26,493,460,6.3,12.6,5.0,9.1,1.2,3.5,3.0,3.9,1.8,6.7,8.5,1.5,0.9,2.8,1.7,3.7,16.7,0.498,0.553,0.353,0.771,0.586,0.546,C-F
154,Evan Turner,2.2,16.3,20.8,1.4,0.8,15.9,19.3,24-31,562,261,5.3,12.2,4.7,10.2,0.6,1.9,2.1,2.6,0.7,5.3,6.1,5.0,1.0,0.4,2.5,2.6,13.2,0.434,0.459,0.297,0.789,0.495,0.457,G
155,Hedo Türkoğlu,1.8,16.5,10.3,1.8,1.1,13.5,14.7,33-35,111,3,3.9,9.8,1.6,3.8,2.3,6.0,0.5,1.0,0.6,5.4,6.0,2.6,1.3,0.5,1.6,3.6,10.6,0.397,0.409,0.39,0.514,0.519,0.516,F
156,Ronny Turiaf,8.5,19.6,6.4,1.1,5.1,17.3,10.2,30-32,98,10,3.1,5.5,3.1,5.5,0.0,0.0,1.2,3.1,2.7,6.2,8.9,1.7,0.7,2.3,1.4,3.9,7.3,0.554,0.554,0.0,0.389,0.532,0.554,F
158,P.J. Tucker,5.7,15.6,6.9,1.9,0.9,13.0,11.0,27-37,835,656,3.1,7.3,1.8,3.8,1.3,3.5,1.0,1.4,1.9,5.0,6.9,1.8,1.4,0.4,1.2,3.1,8.5,0.425,0.479,0.366,0.752,0.539,0.512,F
159,Allonzo Trier,2.2,11.6,13.2,0.9,0.9,15.7,21.4,23-24,88,4,5.8,12.8,4.4,9.0,1.5,3.8,4.4,5.5,0.8,3.9,4.6,3.0,0.6,0.4,2.8,3.0,17.5,0.454,0.483,0.384,0.801,0.574,0.51,G
160,Gary Trent Jr.,1.5,7.6,7.4,2.1,0.7,5.2,20.5,20-24,270,160,6.4,15.2,3.4,7.3,3.0,7.9,2.2,2.6,0.5,2.4,2.9,1.8,1.5,0.3,0.9,2.0,18.0,0.421,0.461,0.384,0.827,0.55,0.52,G
161,Karl-Anthony Towns,9.5,27.3,15.8,1.1,3.4,12.7,26.7,20-27,511,511,9.0,17.1,7.2,12.7,1.7,4.4,4.6,5.6,3.1,8.7,11.8,3.4,0.8,1.4,2.8,3.6,24.3,0.526,0.571,0.395,0.835,0.623,0.577,C-F
163,Juan Toscano-Anderson,3.4,17.0,16.1,1.8,1.7,20.2,12.4,26-29,191,37,3.9,7.6,2.9,4.7,0.9,2.9,1.0,1.5,1.1,5.8,6.9,4.3,1.4,0.7,2.1,3.9,9.6,0.506,0.612,0.331,0.646,0.582,0.568,F
164,Obi Toppin,4.5,17.3,9.2,1.1,2.0,9.0,19.2,22-24,201,15,6.6,13.4,4.6,7.3,2.0,6.1,1.8,2.4,1.5,5.7,7.2,2.1,0.8,0.7,1.4,2.7,17.0,0.492,0.632,0.325,0.766,0.589,0.566,F
165,Anthony Tolliver,3.3,14.1,6.2,0.9,1.1,10.5,13.2,27-35,549,72,3.6,8.8,1.1,2.2,2.6,6.7,1.4,1.8,1.1,4.5,5.6,1.5,0.7,0.5,1.1,2.8,11.2,0.412,0.498,0.384,0.772,0.584,0.557,F-C
169,Xavier Tillman Sr.,9.2,16.6,10.5,2.4,2.3,11.9,14.6,22-24,173,43,5.5,10.0,5.1,8.4,0.4,1.6,1.6,2.6,3.2,5.6,8.8,2.8,1.8,0.9,1.5,3.3,13.0,0.552,0.603,0.279,0.606,0.585,0.574,F
